Country,Region,Hemisphere,HappinessScore,BeerPerCapita,SpiritPerCapita,WinePerCapita,TotalAlcPerCapita,RealGDPPerCapita
Denmark,Western Europe,north,7.526,224,81,278,583,53.579
Switzerland,Western Europe,north,7.509,185,100,280,565,79.866
Iceland,Western Europe,north,7.501,233,61,78,372,60.53
Norway,Western Europe,north,7.498,169,71,129,369,70.89
Finland,Western Europe,north,7.413,263,133,97,493,43.433
Canada,North America,north,7.404,240,122,100,462,42.349
Netherlands,Western Europe,north,7.339,251,88,190,529,45.638
New Zealand,Australia and New Zealand,south,7.334,203,79,175,457,40.332
Australia,Australia and New Zealand,south,7.313,261,72,212,545,49.897
Sweden,Western Europe,north,7.291,152,60,186,398,51.845
Israel,Middle East and Northern Africa,north,7.267,63,69,9,141,37.181
Austria,Western Europe,north,7.119,279,75,191,545,44.731
United States,North America,north,7.104,249,158,84,491,57.589
Costa Rica,Latin America and Caribbean,north,7.087,149,87,11,247,11.733
Germany,Western Europe,north,6.994,346,117,175,638,42.233
Brazil,Latin America and Caribbean,both,6.952,245,145,16,406,8.639
Belgium,Western Europe,north,6.929,295,84,212,591,41.261
Ireland,Western Europe,north,6.907,313,118,165,596,64.1
Luxembourg,Western Europe,north,6.871,236,133,271,640,100.739
Mexico,Latin America and Caribbean,north,6.778,238,68,5,311,8.444
Singapore,Southeastern Asia,north,6.739,60,12,11,83,55.243
United Kingdom,Western Europe,north,6.725,219,126,195,540,40.412
Chile,Latin America and Caribbean,south,6.705,130,124,172,426,13.961
Panama,Latin America and Caribbean,north,6.701,285,104,18,407,14.333
Argentina,Latin America and Caribbean,south,6.65,193,25,221,439,12.654
Czech Republic,Central and Eastern Europe,north,6.596,361,170,134,665,18.484
United Arab Emirates,Middle East and Northern Africa,north,6.573,16,135,5,156,38.518
Uruguay,Latin America and Caribbean,south,6.545,115,35,220,370,15.298
Malta,Western Europe,north,6.488,149,100,120,369,24.771
Colombia,Latin America and Caribbean,both,6.481,159,76,3,238,5.757
France,Western Europe,north,6.478,127,151,370,648,36.87
Thailand,Southeastern Asia,north,6.474,99,258,1,358,5.979
Qatar,Middle East and Northern Africa,north,6.375,1,42,7,50,59.324
Spain,Western Europe,north,6.361,284,157,112,553,26.617
Guatemala,Latin America and Caribbean,north,6.324,53,69,2,124,4.141
Suriname,Latin America and Caribbean,north,6.269,128,178,7,313,5.871
Bahrain,Middle East and Northern Africa,north,6.218,42,63,7,112,22.561
Trinidad and Tobago,Latin America and Caribbean,north,6.168,197,156,7,360,16.352
Venezuela,Latin America and Caribbean,north,6.084,333,100,3,436,15.692
Slovakia,Central and Eastern Europe,north,6.078,196,293,116,605,16.53
El Salvador,Latin America and Caribbean,north,6.068,52,69,2,123,3.769
Nicaragua,Latin America and Caribbean,north,5.992,78,118,1,197,2.144
Uzbekistan,Central and Eastern Europe,north,5.987,25,101,8,134,2.106
Italy,Western Europe,north,5.977,85,42,237,364,30.669
Ecuador,Latin America and Caribbean,both,5.976,162,74,3,239,6.019
Belize,Latin America and Caribbean,north,5.956,263,114,8,385,4.96
Japan,Eastern Asia,north,5.921,77,202,16,295,38.972
Kazakhstan,Central and Eastern Europe,north,5.919,124,246,12,382,7.715
Moldova,Central and Eastern Europe,north,5.897,109,226,18,353,1.913
Russian Federation,Central and Eastern Europe,north,5.856,247,326,73,646,8.748
Poland,Central and Eastern Europe,north,5.835,343,215,56,614,12.415
South Korea,Eastern Asia,north,5.835,140,16,9,165,27.105
Bolivia,Latin America and Caribbean,south,5.822,167,41,8,216,3.117
Lithuania,Central and Eastern Europe,north,5.813,343,244,56,643,14.913
Belarus,Central and Eastern Europe,north,5.802,142,373,42,557,5.023
Slovenia,Central and Eastern Europe,north,5.768,270,51,276,597,21.65
Peru,Latin America and Caribbean,both,5.743,163,160,21,344,6.031
Turkmenistan,Central and Eastern Europe,north,5.658,19,71,32,122,6.389
Mauritius,Sub-Saharan Africa,north,5.648,98,31,18,147,9.682
Latvia,Central and Eastern Europe,north,5.56,281,216,62,559,14.07
Cyprus,Western Europe,north,5.546,192,154,113,459,23.541
Paraguay,Latin America and Caribbean,south,5.538,213,117,74,404,4.078
Romania,Central and Eastern Europe,north,5.528,297,122,167,586,9.532
Estonia,Central and Eastern Europe,north,5.517,224,194,59,477,17.737
Jamaica,Latin America and Caribbean,north,5.51,82,97,9,188,4.879
Croatia,Central and Eastern Europe,north,5.488,230,87,254,571,12.299
Turkey,Middle East and Northern Africa,north,5.389,51,22,7,80,10.863
Jordan,Middle East and Northern Africa,north,5.303,6,21,1,28,4.088
Azerbaijan,Central and Eastern Europe,north,5.291,21,46,5,72,3.881
Philippines,Southeastern Asia,north,5.279,71,186,1,258,2.951
China,Eastern Asia,north,5.245,79,192,8,279,8.117
Kyrgyzstan,Central and Eastern Europe,north,5.185,31,97,6,134,1.22
Serbia,Central and Eastern Europe,north,5.177,283,131,127,541,5.426
Bosnia and Herzegovina,Central and Eastern Europe,north,5.163,76,173,8,257,4.809
Montenegro,Central and Eastern Europe,north,5.161,31,114,128,273,7.029
Dominican Republic,Latin America and Caribbean,north,5.155,193,147,9,349,6.794
Morocco,Middle East and Northern Africa,north,5.151,12,6,10,28,2.893
Hungary,Central and Eastern Europe,north,5.145,234,215,185,634,12.82
Lebanon,Middle East and Northern Africa,north,5.129,20,55,31,106,8.257
Portugal,Western Europe,north,5.123,194,67,339,600,19.872
Macedonia,Central and Eastern Europe,north,5.121,106,27,86,219,4.834
Vietnam,Southeastern Asia,north,5.061,111,2,1,114,2.171
Tunisia,Middle East and Northern Africa,north,5.045,51,3,20,74,3.689
Greece,Western Europe,north,5.033,133,112,218,463,17.882
Mongolia,Eastern Asia,north,4.907,77,189,8,274,3.694
Nigeria,Sub-Saharan Africa,north,4.875,42,5,2,49,2.176
Honduras,Latin America and Caribbean,north,4.871,69,98,2,169,2.375
Zambia,Sub-Saharan Africa,south,4.795,32,19,4,55,1.263
Albania,Central and Eastern Europe,north,4.655,89,132,54,275,4.132
Sierra Leone,Sub-Saharan Africa,north,4.635,25,3,2,30,481
Namibia,Sub-Saharan Africa,south,4.574,376,3,1,380,4.561
Cameroon,Sub-Saharan Africa,south,4.513,147,1,4,152,1.375
South Africa,Sub-Saharan Africa,south,4.459,225,76,81,382,5.28
Egypt,Middle East and Northern Africa,north,4.362,6,4,1,11,3.548
Armenia,Central and Eastern Europe,north,4.36,21,179,11,211,3.606
Kenya,Sub-Saharan Africa,both,4.356,58,22,2,82,1.463
Ukraine,Central and Eastern Europe,north,4.324,206,237,45,488,2.186
Ghana,Sub-Saharan Africa,north,4.276,31,3,10,44,1.517
Dem. Rep. Congo,Sub-Saharan Africa,south,4.272,32,3,1,36,1.712
Georgia,Central and Eastern Europe,north,4.252,52,100,149,301,3.866
Rep. Congo,Sub-Saharan Africa,south,4.236,76,1,9,86,498
Senegal,Sub-Saharan Africa,north,4.219,9,1,7,17,953
Bulgaria,Central and Eastern Europe,north,4.217,231,252,94,577,7.469
Zimbabwe,Sub-Saharan Africa,south,4.193,64,18,4,86,1.029
Malawi,Sub-Saharan Africa,south,4.156,8,11,1,20,300
Gabon,Sub-Saharan Africa,south,4.121,347,98,59,504,7.079
Mali,Sub-Saharan Africa,north,4.073,5,1,1,7,780
Haiti,Latin America and Caribbean,north,4.028,1,326,1,328,735
Botswana,Sub-Saharan Africa,south,3.974,173,35,35,243,6.954
Comoros,Sub-Saharan Africa,south,3.956,1,3,1,5,775
Cote d'Ivoire,Sub-Saharan Africa,north,3.916,37,1,7,45,1.535
Cambodia,Southeastern Asia,north,3.907,57,65,1,123,1.27
Angola,Sub-Saharan Africa,south,3.866,217,57,45,319,3.309
Niger,Sub-Saharan Africa,north,3.856,3,2,1,6,368
Chad,Sub-Saharan Africa,north,3.763,15,1,1,17,651
Burkina Faso,Sub-Saharan Africa,north,3.739,25,7,7,39,614
Madagascar,Sub-Saharan Africa,south,3.695,26,15,4,45,402
Tanzania,Sub-Saharan Africa,south,3.666,36,6,1,43,878
Liberia,Sub-Saharan Africa,north,3.622,19,152,2,173,455
Benin,Sub-Saharan Africa,north,3.484,34,4,13,51,789
Togo,Sub-Saharan Africa,north,3.303,36,2,19,57,577
Syria,Middle East and Northern Africa,north,3.069,5,35,16,56,2.058
